from,to,time,transition,directly
TC,1,1955,,
GM,1,1940,,
GM,DB,1941,6,
DB,ERR,1941,6,
ERR,HG,1956,,
HG,RG,1953,,
RG,HEG,1968,,
HEG,CG,2014,4,
CG,STB,2019,4,
STB,EGM,2019,,
DB,1,1941,,
ERR,1,1941,,
HG,1,1953,,
RG,1,1956,,
HEG,1,1968,,
CG,1,2014,,
STB,1,2019,,
EGM,1,2019,,
JLF,2,1880,,
AID,2,1941,1,
AID,JJT,1942,1,
JJT,HR,1942,1,
HR,HG,1956,,
HG,HEG,1968,4,
HEG,CG,2014,4,
CG,STB,2020,4,
STB,EAID,2020,7,
JJT,2,1942,,
HR,2,1942,,
HG,2,1956,,
HEG,2,1968,,
CG,2,2014,,
STB,2,2020,,
EAID,2,2020,,
JLF,3,1881,,
AID,3,1941,1,
AID,JJT,1942,1,
JJT,LD,1942,1,
LD,HG,1956,,
HG,RG,1953,,
RG,HEG,1968,4,
HEG,CG,2014,4,
CG,STB,2020,4,
STB,EAID,2020,7,
JJT,3,1942,,
LD,3,1942,,
HG,3,1956,,
RG,3,1953,,
HEG,3,1968,,
CG,3,2014,,
STB,3,2020,,
EAID,3,2020,,
